date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:43	140/140	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:33:43%20GMT	http://www.megabox.co.kr/booking	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/booking.0.delayed	(from )
15:33:43	123460/123460	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202020%2006:33:43%20GMT	https://www.megabox.co.kr/booking	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/booking.html	(from )
15:33:44	148/148	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jul%202020%2006:33:44%20GMT	https://www.megabox.co.kr/robots.txt		(from )
15:33:44	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%220-47e-5f0291cb%22	https://www.megabox.co.kr/static/pc/images/favicon.ico	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/images/favicon.ico	(from https://www.megabox.co.kr/booking)
15:33:44	39666/39666	---M--	200	added ('OK')	image/jpeg	etag:%225e38f5b9:9af2%22	https://img.megabox.co.kr/SharedImg/metaTag/2020/02/04/gFfTzMwwiCxhBwcUV5TRGMFX9Cmoj64W.jpg	C:/Users/SiSt171/Desktop/mega/megabox/img.megabox.co.kr/SharedImg/metaTag/2020/02/04/gFfTzMwwiCxhBwcUV5TRGMFX9Cmoj64W.jpg	(from https://www.megabox.co.kr/booking)
15:33:45	653840/653840	---M--	200	added ('OK')	text/css	etag:%220-9fa10-5f0291ef%22	https://www.megabox.co.kr/static/pc/dist/megabox.min.css	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/dist/megabox.min.css	(from https://www.megabox.co.kr/booking)
15:33:45	2390/2390	---M--	200	added ('OK')	application/x-javascript	etag:%220-956-5f0291cb%22	https://www.megabox.co.kr/static/mb/js/lozad.min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/mb/js/lozad.min.js	(from https://www.megabox.co.kr/booking)
15:33:45	71182/71182	---M--	200	added ('OK')	application/x-javascript	etag:%220-1160e-5f0291ed%22	https://www.megabox.co.kr/js/common/dist/megabox.common.min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/js/common/dist/megabox.common.min.js	(from https://www.megabox.co.kr/booking)
15:33:45	675614/675614	---M--	200	added ('OK')	application/x-javascript	etag:%220-a4f1e-5f0291e9%22	https://www.megabox.co.kr/static/pc/dist/megabox.api.min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/dist/megabox.api.min.js	(from https://www.megabox.co.kr/booking)
15:33:45	86973/86973	---M--	200	added ('OK')	application/x-javascript	etag:%220-153bd-5f0291ec%22	https://www.megabox.co.kr/js/netfunnel/dist/megabox.netfunnel.min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/js/netfunnel/dist/megabox.netfunnel.min.js	(from https://www.megabox.co.kr/booking)
15:33:47	1099/1099	---M--	200	added ('OK')	application/javascript	date:Tue,%2007%20Jul%202020%2006:33:46%20GMT	http://cast.imp.joins.com/persona.js	C:/Users/SiSt171/Desktop/mega/megabox/cast.imp.joins.com/persona.js	(from https://www.megabox.co.kr/booking)
15:33:47	5227/5227	---M--	200	added ('OK')	application/x-javascript	etag:%220-146b-5f0291cb%22	https://www.megabox.co.kr/static/mb/js/hmac-sha256.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/mb/js/hmac-sha256.js	(from https://www.megabox.co.kr/booking)
15:33:47	868/868	---M--	200	added ('OK')	application/x-javascript	etag:%220-364-5f0291cb%22	https://www.megabox.co.kr/static/mb/js/enc-base64-min.js	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/mb/js/enc-base64-min.js	(from https://www.megabox.co.kr/booking)
15:33:47	850/850	---M--	302	error ('Found')	text/html	date:Tue,%2007%20Jul%202020%2006:33:48%20GMT	https://www.megabox.co.kr/on/oh/ohh/MySbscDtls/mySbscDtlsListPage.do?currPage=1&searchText=	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/on/oh/ohh/MySbscDtls/mySbscDtlsListPage353b.do	(from https://www.megabox.co.kr/booking)
15:33:47	91/91	---M--	200	added ('OK')	image/png	etag:%220-5b-5f0291cb%22	https://www.megabox.co.kr/static/pc/images/common/bg/bg-noimage-main.png	C:/Users/SiSt171/Desktop/mega/megabox/www.megabox.co.kr/static/pc/images/common/bg/bg-noimage-main.png	(from https://www.megabox.co.kr/booking)
